provider_identifier,hospital_name,address,city,state,zip_code,county,phone_number,payment_measure_name,payment_measure_identifier,payment_category_name,denominator,payment_actual,payment_estimate_lower,payment_estimate_higher,payment_footnote,value_of_care_name,value_of_care_identifier,value_category_name,value_footnote,start_date,end_date
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,Payment for heart attack patients,PAYM_30_AMI,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,Payment for heart failure patients,PAYM_30_HF,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-04-01,2016-03-31
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARCTIC,9074423321,Payment for pneumonia patients,PAYM_30_PN,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,328,18713,17483,19996,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,NA,2013-07-01,2016-06-30
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,120,11312,10099,12519,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,38,13139,11224,15340,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and lower payment,NA,2013-07-01,2016-06-30
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,108,17689,16663,18747,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,123,12186,10999,13444,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,,9078352249,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,,9077724291,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,Payment for heart attack patients,PAYM_30_AMI,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,7074458121,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,287,19320,18074,20679,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,NA,2013-07-01,2016-06-30
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,,9074248000,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30074,SELLS HOSPITAL,HIGHWAY 86 AT TOPAWA ROAD,SELLS,AZ,85634,PIMA,5203627003,Payment for heart attack patients,PAYM_30_AMI,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30074,SELLS HOSPITAL,HIGHWAY 86 AT TOPAWA ROAD,SELLS,AZ,85634,PIMA,5203627003,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30074,SELLS HOSPITAL,HIGHWAY 86 AT TOPAWA ROAD,SELLS,AZ,85634,PIMA,5203627003,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
30074,SELLS HOSPITAL,HIGHWAY 86 AT TOPAWA ROAD,SELLS,AZ,85634,PIMA,5203627003,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for heart attack patients,PAYM_30_AMI,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,US HWY 191 HOSPITAL ROAD,CHINLE,AZ,86503,APACHE,9286747001,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,US HWY 191 HOSPITAL ROAD,CHINLE,AZ,86503,APACHE,9286747001,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,US HWY 191 HOSPITAL ROAD,CHINLE,AZ,86503,APACHE,9286747001,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,US HWY 191 HOSPITAL ROAD,CHINLE,AZ,86503,APACHE,9286747001,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,93,10778,9549,12014,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
